Zone,Gender,Year,Code,AgeGroup,Pop
23168,Female,1985,23,0-4,846
23168,Female,1985,23,10-14,648
23168,Female,1985,23,15-19,633
23168,Female,1985,23,20-24,572
23168,Female,1985,23,25-29,459
23168,Female,1985,23,30-34,359
23168,Female,1985,23,35-39,280
23168,Female,1985,23,40-44,198
23168,Female,1985,23,45-49,190
23168,Female,1985,23,5-9,753
23168,Female,1985,23,50-54,155
23168,Female,1985,23,55-59,121
23168,Female,1985,23,60-64,99
23168,Female,1985,23,65-69,73
23168,Female,1985,23,70-74,43
23168,Female,1985,23,75-79,30
23168,Female,1985,23,80-above,13
23168,Female,1986,23,0-4,860
23168,Female,1986,23,10-14,663
23168,Female,1986,23,15-19,645
23168,Female,1986,23,20-24,590
23168,Female,1986,23,25-29,476
23168,Female,1986,23,30-34,374
23168,Female,1986,23,35-39,292
23168,Female,1986,23,40-44,203
23168,Female,1986,23,45-49,188
23168,Female,1986,23,5-9,770
23168,Female,1986,23,50-54,158
23168,Female,1986,23,55-59,121
23168,Female,1986,23,60-64,99
23168,Female,1986,23,65-69,77
23168,Female,1986,23,70-74,44
23168,Female,1986,23,75-79,29
23168,Female,1986,23,80-above,15
23168,Female,1987,23,0-4,881
23168,Female,1987,23,10-14,681
23168,Female,1987,23,15-19,649
23168,Female,1987,23,20-24,607
23168,Female,1987,23,25-29,491
23168,Female,1987,23,30-34,389
23168,Female,1987,23,35-39,302
23168,Female,1987,23,40-44,211
23168,Female,1987,23,45-49,185
23168,Female,1987,23,5-9,782
23168,Female,1987,23,50-54,159
23168,Female,1987,23,55-59,121
23168,Female,1987,23,60-64,98
23168,Female,1987,23,65-69,79
23168,Female,1987,23,70-74,49
23168,Female,1987,23,75-79,29
23168,Female,1987,23,80-above,16
23168,Female,1988,23,0-4,898
23168,Female,1988,23,10-14,699
23168,Female,1988,23,15-19,651
23168,Female,1988,23,20-24,621
23168,Female,1988,23,25-29,504
23168,Female,1988,23,30-34,403
23168,Female,1988,23,35-39,311
23168,Female,1988,23,40-44,220
23168,Female,1988,23,45-49,180
